Sponsor Name,Other Names,Count of Trials,Location,Overview
TRPHARM,,2,Turkey,"TRPHARM is a Turkish biopharmaceutical company that focuses on the development and manufacture of biosimilar and innovative biological products. The company's pipeline includes candidates for oncology, immunology, and metabolic disorders."
Virchow Biotech Private Limited,,2,India,"Virchow Biotech Private Limited is an Indian biopharmaceutical company that specializes in the development and production of biosimilar and innovative biological products. The company's focus areas include oncology, immunology, and metabolic disorders."
Actoverco Pharmaceutical Company,,1,Iran,"Actoverco Pharmaceutical Company is an Iranian pharmaceutical company that develops and manufactures a range of pharmaceutical products, including biosimilars and innovative biologics, across various therapeutic areas."
Alkem Laboratories Limited,,1,India,"Alkem Laboratories Limited is an Indian pharmaceutical company that develops and produces a diverse portfolio of pharmaceutical products, including biosimilars and innovative biologics, for both domestic and international markets."
"Alteogen, Inc.",,1,South Korea,"Alteogen, Inc. is a South Korean biopharmaceutical company that specializes in the development of biosimilar and innovative biological products. The company's pipeline includes candidates for oncology, immunology, and metabolic disorders."
"Amphastar Pharmaceuticals, Inc.",,1,"Rancho Cucamonga, California, USA","Amphastar Pharmaceuticals, Inc. is a biopharmaceutical company that focuses on developing, manufacturing, and marketing injectable, intranasal, and inhalation products. The company specializes in complex medications, including biologics derived from living cells or organisms, proteins, and interchangeable biosimilars. Amphastar also develops various innovative drug delivery systems for different routes of administration and proprietary products."
Apotex Inc,,1,"Toronto, Ontario, Canada","Apotex Inc. is a Canadian pharmaceutical company that develops, manufactures, and markets generic drugs. It is one of the largest generic pharmaceutical companies in the world, with a presence in over 115 countries. Apotex is known for its wide range of generic drug products, including tablets, capsules, and injectable formulations."
Archigen Biotech Limited,,1,"Bangalore, India","Archigen Biotech Limited is an Indian biopharmaceutical company that focuses on the development and manufacturing of biosimilar products. The company specializes in monoclonal antibodies, recombinant proteins, and other complex biologics. Archigen Biotech aims to provide affordable and accessible biosimilar medicines to patients worldwide."
BeiGene,,1,"Beijing, China","BeiGene is a global, commercial-stage biotechnology company focused on developing and commercializing innovative molecularly-targeted and immuno-oncology drugs for the treatment of cancer. The company has a broad pipeline of clinical-stage drug candidates and is expanding its commercial operations in China and the United States."
Bio Sidus SA,,1,"Buenos Aires, Argentina","Bio Sidus SA is an Argentine biopharmaceutical company that specializes in the development, production, and commercialization of biosimilar and innovative biological products. The company has a strong focus on oncology, immunology, and endocrinology therapeutic areas. Bio Sidus operates state-of-the-art manufacturing facilities in Argentina."
BioGenomics Limited,,1,"Thane, Maharashtra, India","BioGenomics is a leading biopharmaceutical company in India that focuses on diabetes and cancer care. Led by eminent scientists and business professionals, the company has developed dozens of biopharmaceuticals and biotech products in a short span of 10 years. BioGenomics aims to innovate and adapt to the changing healthcare needs, with a mission to deliver affordable and accessible healthcare."
Biointegrator LLC,,1,Russia,Biointegrator LLC is a Russian pharmaceutical company that focuses on the development and production of drugs based on recombinant proteins and small molecules. The company operates within the pharmaceutical sector and has recorded import and export shipment activities.
Biosana Pty Ltd,,1,Australia,Biosana Pty Ltd is an Australian biotechnology company that specializes in the development of biopharmaceutical products. The company's main focus is on the formulation of medications using recombinant proteins and small molecules.
BioSimilar Sciences LLC,,1,United States,BioSimilar Sciences LLC is a U.S. based pharmaceutical company that specializes in the development and production of biosimilar drugs. The company's primary focus is on creating affordable alternatives to existing biologic medications.
Boehringer Ingelheim India Pvt Ltd,,1,India,"Boehringer Ingelheim India Pvt Ltd is the Indian subsidiary of the German pharmaceutical giant Boehringer Ingelheim. The company is engaged in the research, development, and commercialization of a wide range of pharmaceutical products, including prescription medicines, consumer health products, and animal health solutions."
CJSC BIOCAD Russia,,1,Russia,"CJSC BIOCAD is a leading Russian biopharmaceutical company that focuses on the development and production of innovative medicines, including monoclonal antibodies, recombinant proteins, and small molecules. The company has a strong research and development pipeline and is committed to bringing new treatments to patients both in Russia and globally."
CURATEQ BIOLOGICS PRIVATE LIMITED,,1,India,CURATEQ BIOLOGICS PRIVATE LIMITED is an Indian biopharmaceutical company that specializes in the development and manufacturing of biosimilar and biologic products. The company's focus is on creating affordable and accessible treatments for patients in India and other emerging markets.
"DAIICHI SANKYO CO., LTD",,1,Japan,"DAIICHI SANKYO CO., LTD is a major Japanese pharmaceutical company that is engaged in the research, development, and commercialization of a wide range of pharmaceutical products, including prescription drugs, over-the-counter medicines, and vaccines. The company has a global presence and is known for its innovative approach to drug development."
"EirGenix, Inc.",,1,Taiwan,"EirGenix, Inc. is a Taiwanese biopharmaceutical company that specializes in the development and production of biosimilar and biologic products. The company's focus is on creating high-quality, affordable treatments for patients in Taiwan and other Asian markets."
Epitopoietic Research Corporation,,1,United States,Epitopoietic Research Corporation is a U.S. based biopharmaceutical company that focuses on the development of novel immunotherapies and biologics for the treatment of cancer and other diseases. The company's research and development efforts are centered on leveraging the power of the immune system to fight disease.
Eurofarma Laboratorios S.A.,,1,Brazil,"Eurofarma Laboratorios S.A. is a leading Brazilian pharmaceutical company that specializes in the development, production, and commercialization of a wide range of pharmaceutical products, including generic drugs, branded medicines, and over-the-counter products. The company has a strong presence in the Latin American market and is committed to improving access to affordable healthcare."
Genelux Corporation,,1,United States,Genelux Corporation is a U.S. based biopharmaceutical company that is focused on the development of oncolytic viruses for the treatment of cancer. The company's research and development efforts are centered on leveraging the unique properties of viruses to selectively target and destroy cancer cells while leaving healthy cells unharmed.
Hikma Pharmaceuticals LLC,,1,Jordan,"Hikma Pharmaceuticals LLC is a leading Jordanian pharmaceutical company that specializes in the development, production, and commercialization of a wide range of pharmaceutical products, including generic drugs, branded medicines, and injectables. The company has a strong presence in the Middle East and North Africa region and is committed to improving access to affordable healthcare."
Innovent Biologics (Suzhou) Co. Ltd.,,1,China,"Innovent Biologics (Suzhou) Co. Ltd. is a Chinese biopharmaceutical company that focuses on the development and commercialization of innovative biologics, including monoclonal antibodies and other therapeutic proteins. The company has a strong research and development pipeline and is committed to bringing new treatments to patients in China and other global markets."
iOMEDICO AG,,1,Germany,"iOMEDICO AG is a German biopharmaceutical company that specializes in the development and production of innovative biologics and biosimilars. The company's focus is on creating high-quality, affordable treatments for patients in Europe and other global markets."
"ISU Abxis Co., LTD",,1,South Korea,"ISU Abxis Co., LTD is a South Korean biopharmaceutical company that specializes in the development and production of biosimilar and biologic products. The company's focus is on creating affordable and accessible treatments for patients in South Korea and other Asian markets."
IVFarma LLC,,1,Russia,IVFarma LLC is a Russian pharmaceutical company that specializes in the development and production of drugs for the treatment of infertility and other reproductive health issues. The company's focus is on creating innovative and effective treatments for patients in Russia and other Eastern European markets.
Jamp Pharma Corporation,,1,Canada,"Jamp Pharma Corporation is a Canadian pharmaceutical company that specializes in the development, production, and commercialization of generic and branded pharmaceutical products. The company has a strong presence in the Canadian market and is committed to providing affordable and accessible healthcare solutions to patients."
"JCR Pharmaceuticals Co., Ltd.",,1,Japan,"JCR Pharmaceuticals Co., Ltd. is a Japanese biopharmaceutical company that specializes in the development and production of innovative biologics and orphan drugs. The company's focus is on creating treatments for rare and difficult-to-treat diseases, with a particular emphasis on enzyme replacement therapies and gene therapies."
JHL Biotech (Hong Kong) Limited,,1,Hong Kong,JHL Biotech (Hong Kong) Limited is a Hong Kong-based biopharmaceutical company that specializes in the development and production of biosimilar and biologic products. The company's focus is on creating affordable and accessible treatments for patients in Asia and other global markets.
"Jiangsu HengRui Medicine Co., Ltd.",,1,"Lianyungang, Jiangsu Province, China","Jiangsu Hengrui Medicine Co., Ltd. is a leading global pharmaceutical company headquartered in China. It focuses on the research, development, manufacturing, and commercialization of innovative and high-quality healthcare products. The company has a strong focus on oncology, metabolic diseases, autoimmune diseases, and cardiovascular diseases."
Julphar Gulf Pharmaceutical Industries,,1,"Ras Al Khaimah, United Arab Emirates","Julphar Gulf Pharmaceutical Industries is a pharmaceutical company based in the United Arab Emirates. It manufactures and markets a wide range of pharmaceutical products including branded generics, over-the-counter medicines, and active pharmaceutical ingredients. The company operates in over 50 countries globally."
"Kashiv BioSciences, LLC",,1,"Bridgewater, New Jersey, USA","Kashiv BioSciences, LLC is a biopharmaceutical company focused on the development of complex generic and innovative drug products. The company leverages its expertise in drug delivery technologies to develop products for the treatment of various therapeutic areas including oncology, central nervous system, and respiratory diseases."
Laboratório Daudt Oliveira Ltda.,,1,"Rio de Janeiro, Brazil",Laboratório Daudt Oliveira Ltda. is a Brazilian pharmaceutical company that specializes in the production and distribution of generic and branded pharmaceutical products. The company has a diverse portfolio of products across various therapeutic areas and operates in the Brazilian market.
Laboratorio Elea Phoenix S.A.,,1,"Buenos Aires, Argentina","Laboratorio Elea Phoenix S.A. is an Argentinian pharmaceutical company that develops, manufactures, and markets a wide range of pharmaceutical products, including branded and generic drugs, over-the-counter medicines, and active pharmaceutical ingredients. The company has a strong presence in the Latin American market."
Laboratorios Liomont,,1,"Mexico City, Mexico","Laboratorios Liomont is a Mexican pharmaceutical company that specializes in the development, production, and commercialization of branded and generic pharmaceutical products. The company has a diverse portfolio of products across various therapeutic areas and operates primarily in the Mexican market."
Laboratorios Richmond S.A.C.I.F.,,1,"Buenos Aires, Argentina","Laboratorios Richmond S.A.C.I.F. is an Argentinian pharmaceutical company that develops, manufactures, and markets a range of branded and generic pharmaceutical products. The company has a strong focus on oncology, cardiovascular, and central nervous system therapies, and operates primarily in the Latin American market."
Luye Pharma Group Ltd.,,1,"Yantai, Shandong Province, China","Luye Pharma Group Ltd. is a Chinese pharmaceutical company that focuses on the research, development, manufacturing, and commercialization of innovative drugs and drug delivery technologies. The company has a diverse portfolio of products across various therapeutic areas, including oncology, central nervous system, and cardiovascular diseases."
MorphoSys AG,,1,"Planegg, Germany",MorphoSys AG is a German biopharmaceutical company that focuses on the development of innovative antibody-based therapies for the treatment of cancer and autoimmune diseases. The company has a robust pipeline of drug candidates and collaborates with various pharmaceutical partners to advance its research and development efforts.
Mylan Pharmaceuticals Inc,,1,"Canonsburg, Pennsylvania, USA","Mylan Pharmaceuticals Inc. is a global pharmaceutical company that develops, manufactures, and markets a wide range of generic, branded, and specialty pharmaceutical products. The company has a presence in more than 165 countries and is one of the largest generic drug manufacturers in the world."
"Nichi-Iko Pharmaceutical Co., Ltd.",,1,"Toyama, Japan","Nichi-Iko Pharmaceutical Co., Ltd. is a Japanese pharmaceutical company that specializes in the development, manufacturing, and sale of generic and branded pharmaceutical products. The company has a strong focus on oncology, central nervous system, and cardiovascular therapies, and operates primarily in the Japanese market."
Oncobiologics Limited,,1,"Cranbury, New Jersey, USA",Oncobiologics Limited is a biopharmaceutical company focused on the development of biosimilar and novel monoclonal antibody-based therapeutics for the treatment of cancer and other serious diseases. The company leverages its proprietary technology platforms to advance its pipeline of drug candidates and collaborates with various partners to expand its reach.
Panacea Biotec Limited,,1,"New Delhi, India","Panacea Biotec Limited is an Indian pharmaceutical and biotechnology company that develops, manufactures, and markets a range of vaccines, biopharmaceuticals, and other healthcare products. The company has a strong focus on infectious diseases, oncology, and other therapeutic areas, and operates in both domestic and international markets."
Sanofi-Aventis Recherche & Développement,,1,"Paris, France","Sanofi-Aventis Recherche & Développement is the research and development division of the French pharmaceutical company Sanofi. The division is responsible for the discovery, development, and commercialization of innovative pharmaceutical products across various therapeutic areas, including immunology, oncology, and rare diseases."
"STADA, Spain",,1,"Bad Vilbel, Germany","STADA is a German pharmaceutical company that develops, manufactures, and markets a wide range of generic, branded, and consumer healthcare products. The company has a strong presence in Europe and operates through various subsidiaries, including STADA, Spain, which focuses on the Spanish market."
Stelis Biopharma Pvt. Ltd.,,1,"Bangalore, India","Stelis Biopharma is a leading global biopharmaceutical Contract Development and Manufacturing Organization (CDMO), with a complete and integrated end-to-end offering. It has world-class process development and manufacturing infrastructure for both drug substance and drug product. Stelis is a subsidiary of Strides Pharma Science Limited, a global pharmaceutical company."
"Sunshine Lake Pharma Co., Ltd.",,1,"Guangzhou, China","Sunshine Lake Pharma is a biopharmaceutical company focused on the research, development, and commercialization of innovative biologics and biosimilars. The company has a strong pipeline of monoclonal antibodies, fusion proteins, and other biologics targeting various therapeutic areas such as oncology, autoimmune diseases, and metabolic disorders."
"Suzhou Suncadia Biopharmaceuticals Co., Ltd.",,1,"Suzhou, China","Suzhou Suncadia Biopharmaceuticals is a biopharmaceutical company dedicated to the development and manufacturing of innovative biologics and biosimilars. The company has advanced capabilities in process development, analytical testing, and cGMP manufacturing for both drug substance and drug product. Suzhou Suncadia collaborates with global partners to bring high-quality biologics to patients worldwide."
Tanvex Biologics Corp,,1,"Taipei, Taiwan","Tanvex Biologics is a biopharmaceutical company focused on the development and commercialization of biosimilars. The company has a pipeline of biosimilar candidates targeting various therapeutic areas, including oncology, autoimmune diseases, and metabolic disorders. Tanvex Biologics has state-of-the-art manufacturing facilities and a strong focus on quality and regulatory compliance."
TcLand Expression S.A.,,1,"Nantes, France","TcLand Expression is a biopharmaceutical company specializing in the development of innovative immunotherapies for the treatment of cancer and autoimmune diseases. The company's proprietary technology platform, called TcLand, enables the discovery and development of novel T-cell-based therapies. TcLand Expression collaborates with academic and industry partners to advance its pipeline of therapeutic candidates."
"Teva Pharmaceuticals, Inc.",,1,"Petah Tikva, Israel","Teva Pharmaceuticals is a global pharmaceutical company that develops, manufactures, and markets generic, specialty, and biopharmaceutical products. The company is a leading provider of generic medicines, with a diverse portfolio of products across various therapeutic areas. Teva also has a growing biosimilars and innovative medicines business, focusing on areas such as respiratory, oncology, and central nervous system disorders."
"TOT Biopharm Co., Ltd.",,1,"Suzhou, China","TOT Biopharm is a biopharmaceutical company focused on the development and commercialization of innovative biologics and biosimilars. The company has a strong pipeline of monoclonal antibodies, fusion proteins, and other biologics targeting various therapeutic areas, including oncology, autoimmune diseases, and ophthalmology. TOT Biopharm operates state-of-the-art manufacturing facilities and collaborates with global partners to bring its products to patients worldwide."
Veeda Clinical Research,,1,"Ahmedabad, India","Veeda Clinical Research is a leading contract research organization (CRO) that provides a comprehensive range of clinical research services, including bioavailability and bioequivalence studies, phase I-IV clinical trials, and regulatory support. The company has state-of-the-art facilities and a team of experienced professionals dedicated to delivering high-quality clinical research services to its clients."
Xbrane Biopharma AB,,1,"Solna, Sweden","Xbrane Biopharma is a biopharmaceutical company focused on the development and commercialization of biosimilars. The company has a pipeline of biosimilar candidates targeting various therapeutic areas, including ophthalmology, oncology, and autoimmune diseases. Xbrane Biopharma leverages its proprietary protein expression platform to develop high-quality biosimilars at a lower cost compared to traditional methods."
YL Biologics Ltd,,1,"Tokyo, Japan","YL Biologics is a biopharmaceutical company focused on the development and commercialization of biosimilars. The company has a pipeline of biosimilar candidates targeting various therapeutic areas, including oncology, autoimmune diseases, and metabolic disorders. YL Biologics collaborates with global partners to bring its products to patients in Japan and other international markets."
Zydus Lifesciences Limited,,1,"Ahmedabad, India","Zydus Lifesciences is a global pharmaceutical company that develops, manufactures, and markets a wide range of healthcare products, including generic medicines, biosimilars, and innovative therapies. The company has a strong presence in various therapeutic areas, such as cardiology, diabetes, oncology, and neurology. Zydus Lifesciences operates state-of-the-art manufacturing facilities and has a global footprint, with products sold in over 70 countries."
