,id,phases,sponsor,collaborators,interventions,locations,enrollment,conditions,Start Date,Max Phase
20,NCT04064359,Phase 1,Oxford BioTherapeutics Ltd,,"OBT076, a CD205-directed antibody-drug conjugate,MEN1309,Drug: OBT076, a CD205-directed antibody-drug conjugate","Belgium,Spain,Greece,United States,France",200,Solid Tumor,2019-07-25,1
21,NCT02001623,"Phase 2,Phase 1",Seagen Inc.,Genmab,"TIVDAK,Drug: Tisotumab Vedotin (HuMax-TF-ADC),Tisotumab Vedotin (HuMax-TF-ADC)","Belgium,Denmark,United States,Sweden,United Kingdom",195,"Endometrium Cancer,Esophagus Cancer,Bladder Cancer,Squamous Cell Carcinoma of the Head and Neck (SCCHN),Cervix Cancer,Ovary Cancer,Lung Cancer(NSCLC),Prostate Cancer (CRPC)",2013-11-14,2
22,NCT04617314,Phase 1,"RemeGen Co., Ltd.",,"RC108 for injection,RC108",China,32,Solid Tumor,2021-03-10,1
23,NCT05564858,Phase 1,"Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co., Ltd.",,"FDA022 Monoclonal antibody-drug conjugate for injection Phase Ib,Drug: FDA022 Monoclonal antibody-drug conjugate for injection Phase Ia,Drug: FDA022 Monoclonal antibody-drug conjugate for injection Phase Ib,FDA022 Monoclonal antibody-drug conjugate for injection Phase Ia,FDA022-BB05",China,107,Advanced Solid Tumors,2022-09-20,1
24,NCT06440005,Phase 1,"Angiex, Inc.",,"AGX101,ADC",United States,80,"Cancer,Pancreas Cancer,Pancreatic Adenocarcinoma,Locally Advanced Carcinoma,Triple Negative Breast Cancer,Advanced Cancer,Metastatic Solid Tumor",2024-05-01,1
25,NCT05011188,"Phase 2,Phase 1",Rahul Aggarwal,"Fortis Therapeutics, Inc.","G-CSF,FOR46,Pegfilgrastim,anti-CD46 antibody conjugate,XTANDI,Antibody-Drug Conjugate (ADC),Enzalutamide",United States,36,"Metastatic Castration-resistant Prostate Cancer,Prostate Cancer",2022-01-19,2
26,NCT05996952,Phase 2,West China Hospital,"RemeGen Co., Ltd.","RC48-ADC,Drug: RC48-ADC",China,77,Non-muscle Invasive Bladder Cancer,2023-03-08,2
27,NCT06234423,Phase 1,"OnCusp Therapeutics, Inc.",,CUSP06,United States,180,"Solid Tumor,Ovarian Cancer",2024-02-09,1
28,NCT04316442,"Phase 2,Phase 1","Sorrento Therapeutics, Inc.",,"STI-6129,anti-CD38-Duostatin 5.2 antibody-drug conjugate (ADC)",United States,60,Light Chain (AL) Amyloidosis,2021-04-01,2
29,NCT04662580,Phase 1,"Ambrx, Inc.",Johnson & Johnson,ARX517,United States,262,Prostate Cancer,2021-07-27,1
30,NCT06457997,Phase 1,Pheon Therapeutics,,PHN-010,United States,273,"Advanced Solid Tumor,Ovarian Cancer,Advanced Cancer,Cervical Cancer,Lung Cancer,Colon Cancer,Endometrial Cancer",2024-07-01,1
31,NCT04152499,"Phase 2,Phase 1",Klus Pharma Inc.,,SKB264,"China,Korea, Republic of,Canada,Turkey,United States",1300,"Breast Cancer,Urothelial Carcinoma,Endometrial Carcinoma,Gastric Adenocarcinoma,Small-Cell Lung Cancer,Epithelial Ovarian Cancer,Non-Small Cell Lung Cancer,Head and Neck Squamous Cell Carcinoma,Gastroesophageal Junction Adenocarcinoma",2020-02-28,2
32,NCT04400695,Phase 3,"RemeGen Co., Ltd.",,"Drug: Vinorelbine Tartrate Injection,Xeloda,Drug: RC48-ADC,Drug: Docetaxel Injection,Docetaxel Injection,RC48-ADC,RC48,Navelbine,Drug: Capecitabine Tablets,Paclitaxel Injection,Capecitabine Tablets,Vinorelbine Tartrate Injection,Taxotere,Taxol,Drug: Paclitaxel Injection",China,366,Breast Cancer,2020-04-30,3
33,NCT05103683,Phase 1,"TORL Biotherapeutics, LLC",Translational Research in Oncology,TORL-1-23,United States,90,"Advanced Solid Tumor,Ovarian Cancer,NSCLC,Endometrial Cancer",2021-11-17,1
34,NCT05217693,Phase 1,"Bliss Biopharmaceutical (Hangzhou) Co., Ltd",,BB-1705,China,288,Solid Tumor,2022-06-01,1
35,NCT05308225,"Phase 2,Phase 1","Sorrento Therapeutics, Inc.",,STI-6129,United States,72,Multiple Myeloma,2023-02-01,2
36,NCT04610528,Phase 1,SOLTI Breast Cancer Research Group,Daiichi Sankyo,"U3 1402,Patritumab Deruxtecan",Spain,80,Breast Cancer,2020-12-22,1
37,NCT06198751,Phase 2,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",,"7.5 mg/kg of TQB2102 for injection,6.0 mg/kg of TQB2102 for injection",China,104,Breast Cancer,2024-02-05,2
38,NCT05297552,Phase 2,"RemeGen Co., Ltd.",,"JS001,Drug: JS001,RC48-ADC,Drug: RC48-ADC",China,40,Muscle Invasive Bladder Carcinoma,2022-03-17,2
39,NCT04202705,Phase 1,Byondis B.V.,,SYD1875,"France,Belgium",31,Solid Tumor,2020-02-28,1
40,NCT05323045,Phase 1,Byondis B.V.,,BYON3521,"Netherlands,Italy,United Kingdom,Belgium",31,Solid Tumor,2022-03-21,1
41,NCT05514158,Phase 1,"RemeGen Co., Ltd.",,"RC98,RC98 injection,Drug: RC48-ADC,RC48-ADC injection,RC48-ADC,Drug: RC98",China,24,Gastric Cancer,2022-04-08,1
42,NCT05135715,Phase 2,"RemeGen Co., Ltd.",,"Recombinant Humanized anti-HER2 Monoclonal Antibody-MMAE Conjugate For Injection,RC48-ADC,Drug: RC48-ADC",China,50,"Advanced Melanoma,Melanoma, Stage II,HER2-positive",2021-11-15,2
43,NCT05941507,"Phase 2,Phase 1","LigaChem Biosciences, Inc.","AntibodyChem Biosciences, Inc.","LCB84,Anti-PD-1 monoclonal antibody","Canada,United States",300,Advanced Solid Tumors,2023-10-05,2
44,NCT02874664,Phase 1,Stemcentrx,,"SC16LD6.5,Rovalpituzumab Tesirine","Canada,United States",46,Small Cell Lung Carcinoma,2016-09-01,1
45,NCT05527184,Phase 1,"ImmunoGen, Inc.",,IMGN151,United States,227,"Fallopian Tube Cancer,Primary Peritoneal Carcinoma,High Grade Serous Adenocarcinoma of Ovary,Endometrial Cancer",2023-01-11,1
46,NCT02881138,Phase 1,"RemeGen,RemeGen Co., Ltd.",,"RC48-ADC,Drug: RC48-ADC",China,24,Solid Tumors,2016-03-01,1
47,NCT03366428,Phase 1,"Daiichi Sankyo Co., Ltd.",AstraZeneca,"Experimental product,DS-8201a",Japan,51,Malignant Neoplasm of Breast,2017-12-26,1
48,NCT02552121,"Phase 2,Phase 1","Genmab,Seagen Inc.",Genmab,"Drug: Tisotumab vedotin (HuMax-TF-ADC),Tisotumab vedotin (HuMax-TF-ADC)","Hungary,Belgium,Denmark,United States,United Kingdom",33,"Endometrium Cancer,Lung Cancer (NSCLC),Bladder Cancer,Cervix Cancer,Ovary Cancer,Esophagus Cancer,Prostate Cancer (CRPC)",2015-09-14,2
49,NCT02674568,Phase 2,AbbVie,,"SC16LD6.5,Rovalpituzumab tesirine",,342,Small Cell Lung Cancer,2016-01-25,2
50,NCT05745740,"Phase 2,Phase 1","RemeGen Co., Ltd.",,"Drug: RC48-ADC,RC48-ADC,DV,Drug: Pyrotinib,Pyrotinib",China,26,Non-small Cell Lung Cancer,2023-02-16,2
51,NCT06210815,Phase 1,Shanghai Henlius Biotech,,"HLX42,Anti-EGFR ADC",China,42,Solid Tumor,2024-03-14,1
52,NCT05565807,"Phase 2,Phase 1",Zhejiang ACEA Pharmaceutical Co. Ltd.,,STI-6129,China,84,Relapsed or Refractory Multiple Myeloma,2023-02-09,2
53,NCT06005740,Phase 1,"TORL Biotherapeutics, LLC",Translational Research in Oncology,TORL-4-500,United States,70,"Hepatocellular Carcinoma,Advanced Solid Tumor",2023-12-04,1
54,NCT04965519,Phase 2,"RemeGen Co., Ltd.",,"Recombinant Humanized anti-HER2 Monoclonal Antibody-MMAE Conjugate For Injection,RC48-ADC,Drug: RC48-ADC",China,120,Gynecological Malignancy,2021-07-07,2
55,NCT02881190,Phase 1,"RemeGen,RemeGen Co., Ltd.",,"RC48-ADC,Drug: RC48-ADC",China,57,Solid Tumors,2015-12-14,1
56,NCT06452706,Phase 2,"Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd.",,TQB2102 for injection,China,42,Breast Cancer,2024-07-01,2
57,NCT06431490,"Phase 2,Phase 1","Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd.",,TQB2102 for injection,China,103,Biliary Tract Cancer,2024-07-01,2
58,NCT06038396,"Phase 2,Phase 1","RemeGen Co., Ltd.",,"RC118 for injection,JS001,RC118,Toripalimab,Toripalimab for injection",China,64,Advanced Solid Tumor,2023-08-03,2
59,NCT03507166,Phase 2,"RemeGen,RemeGen Co., Ltd.",,"Recombinant Humanized anti-HER2 Monoclonal Antibody-MMAE Conjugate For Injection,RC48-ADC,Drug: RC48-ADC",China,43,"Urothelial Carcinoma,Advanced Cancer",2017-12-28,2
60,NCT03556345,Phase 2,"RemeGen Co., Ltd.",,"Recombinant Humanized anti-HER2 Monoclonal Antibody-MMAE Conjugate For Injection,RC48-ADC,Drug: RC48-ADC",China,127,"Gastric Cancer,HER2 Overexpressing Gastric Carcinoma",2018-01-06,2
61,NCT05367635,Phase 1,"Sichuan Kelun Pharmaceutical Research Institute Co., Ltd.",,SKB315 for injection,China,206,Advanced Solid Tumors,2022-03-16,1
62,NCT05460273,"Phase 2,Phase 1",AstraZeneca,Daiichi Sankyo,"Datopotamab Deruxtecan (Dato-DXd),DS-1062a",China,119,"Triple Negative Breast Cancer,Carcinoma, Non-Small-Cell Lung",2022-07-11,2
63,NCT05525286,"Phase 2,Phase 1",SOTIO Biotech a.s.,,"SOT102,Drug: SOT102","Belgium,Spain,Czechia,United States,France",160,Pancreatic Cancer,2021-07-12,2
64,NCT05652855,"Phase 2,Phase 1",Minghui Pharmaceutical Pty Ltd,,MHB088C for Injection,Australia,48,Advanced or Metastatic Solid Tumors,2023-01-23,2
65,NCT03809013,Phase 2,"RemeGen Co., Ltd.",,"Recombinant Humanized anti-HER2 Monoclonal Antibody-MMAE Conjugate For Injection,RC48-ADC,Drug: RC48-ADC",China,64,Urothelial Carcinoma,2019-01-07,2
66,NCT01807598,Phase 2,Jason Robert Gotlib,Seagen Inc.,"anti-CD30 antibody-drug conjugate,Adcetris,Brentuximab vedotin,SGN-35,anti-CD30 ADC",United States,10,"Aggressive Systemic Mastocytosis,Systemic Mastocytosis,Mast Cell Leukemia",2013-09-01,2
67,NCT06384807,"Phase 2,Phase 1",Biohaven Therapeutics Ltd.,,"GQ1010,BHV1510,PBI-410",United States,170,Solid Tumor,2024-04-22,2
68,NCT05320588,"Phase 2,Phase 1",BiOneCure Therapeutics Inc.,,"BIO-106,Pembrolizumab,Keytruda",United States,332,"Cancer,Advanced Solid Tumor,Oncology,Advanced Cancer",2022-03-25,2
69,NCT06115642,Phase 1,Shanghai Henlius Biotech,,"Anti-PD-L1 ADC,HLX43",China,36,Advanced Solid Tumor,2023-11-28,1
70,NCT06115902,Phase 1,"Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd.",,TQB2102 for injection,China,150,Breast Cancer,2023-11-17,1
71,NCT03052634,"Phase 2,Phase 1","RemeGen Co., Ltd.",,"RC48-ADC 2.0 mg/kg (HER2 Low Expression),RC48-ADC 2.0 mg/kg (HER2 Positive),Drug: RC48-ADC 1.5 mg/kg (HER2 Positive),Drug: RC48-ADC 2.5 mg/kg (HER2 Positive),Drug: RC48-ADC 2.0 mg/kg (HER2 Low Expression),Drug: RC48-ADC 2.0 mg/kg (HER2 Positive),RC48-ADC 2.5 mg/kg (HER2 Positive),RC48-ADC 1.5 mg/kg (HER2 Positive)",China,112,Advanced Breast Cancer,2016-12-23,2
72,NCT02277717,Phase 1,Byondis B.V.,,SYD985 (trastuzumab vc-seco-DUBA),"Netherlands,Spain,United Kingdom,Belgium",185,Solid Tumors,2014-10-01,1
73,NCT03748186,Phase 1,"Sutro Biopharma, Inc.",,STRO-002,"United States,Spain",160,"Ovarian Cancer,Endometrioid Adenocarcinoma,Ovarian Carcinoma,Ovary Cancer,Fallopian Tube Cancer,Primary Peritoneal Carcinoma,Endometrial Cancer",2019-02-01,1
74,NCT05652868,Phase 1,Mythic Therapeutics,,MYTX-011,"Korea, Republic of,Spain,Taiwan,Australia,United States,United Kingdom",150,"Advanced Non-Small Cell Non-Squamous Lung Cancer,NSCLC,NSCLC Stage IV,NSCLC Stage IIIB,Advanced Non-Small Cell Squamous Lung Cancer,Advanced Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer",2023-03-23,1
75,NCT04280341,Phase 1,Peking University,"RemeGen Co., Ltd.","RC48-ADC in combinaton with JS001,Biological: RC48-ADC in combinaton with JS001",China,50,HER2-Positive Solid Tumors,2019-12-30,1
76,NCT00031187,Phase 2,"Seagen Inc.,Seattle Genetics, Inc.",,"Drug: SGN-15 (cBR96-doxorubicin immunoconjugate),Drug: Taxotere (docetaxel),SGN-15 (cBR96-doxorubicin immunoconjugate),Taxotere (docetaxel)",United States,160,Prostatic Neoplasms,2000-10-01,2
77,NCT03248492,Phase 2,Daiichi Sankyo,"AstraZeneca,Daiichi Sankyo Co., Ltd.","Experimental product,DS-8201a","Belgium,Japan,Italy,Korea, Republic of,Spain,Canada,United States,United Kingdom,France",253,Breast Cancer,2017-08-25,2
78,NCT03505710,Phase 2,Daiichi Sankyo,"AstraZeneca,Daiichi Sankyo Co., Ltd.","Experimental product,DS-8201a,Trastuzumab deruxtecan","Spain,Netherlands,United States,Japan,France",181,Non-Small Cell Lung Cancer,2018-05-21,2
79,NCT03725761,Phase 2,"University of Wisconsin, Madison","Gilead Sciences,National Cancer Institute (NCI)","Sacituzumab Govitecan,IMMU-132",United States,31,Prostate Cancer,2018-10-24,2
80,NCT01432275,,Abbott Diabetes Care,,"Lifescan Verio Pro or,Device: Comparator blood glucose meter,Abbott Freestyle InsuLinx,Device: ADC blood glucose meter with insulin calculator active,ADC blood glucose meter,Comparator blood glucose meter,ADC blood glucose meter with insulin calculator active,Device: ADC blood glucose meter,Bayer Contour USB,Abbott FreeStyle InsuLinx,Roche Accu-Chek Aviva Nano",United Kingdom,179,Diabetes Mellitus,2011-09-01,
81,NCT06265727,"Phase 2,Phase 1",Corbus Pharmaceuticals Inc.,"CSPC Zhongnuo Pharmaceutical (Shijiazhuang) Co., Ltd.",CRB-701,"Turkey,United States,United Kingdom,Spain",420,"Solid Tumor, Adult",2024-04-01,2
82,NCT06263543,Phase 2,"Reshma L. Mahtani, D.O.",Gilead Sciences,"Sacituzumab govitecan,Trodelvy",United States,75,"Breast Cancer,Metastatic Breast Cancer,Hormone-receptor-positive Breast Cancer,Human Epidermal Growth Factor 2 Low Breast Cancer,Advanced Breast Cancer",2024-06-17,2
83,NCT06155396,Phase 2,"RemeGen Co., Ltd.",,"Disitamab Vedotin,Disitamab Vedotin （RC48-ADC),Zimberelimab",China,116,Cervical Cancer,2024-01-11,2
84,NCT05584709,Phase 1,"Sorrento Therapeutics, Inc.",,"STI-6129,Anti-CD38 antibody drug conjugate",United States,34,Advanced Solid Tumor,2023-03-01,1
85,NCT00126646,Phase 1,MedImmune LLC,,"Procedure: immunotoxin therapy,Procedure: antibody-drug conjugate therapy,immunotoxin therapy,BL22 immunotoxin,Drug: BL22 immunotoxin,antibody-drug conjugate therapy",United States,24,"Leukemia,Lymphoma",2005-02-08,1
86,NCT05980481,"Phase 2,Phase 3","RemeGen Co., Ltd.",,"Disitamab Vedotin,Trastuzumab,Oxaliplatin,Trastuzumab Injection,Drug: RC48-ADC,JS001,Drug: Herceptin,Toripalimab,RC48-ADC,Capecitabine,Drug: Oxaliplatin injection,Drug: Capecitabine,Oxaliplatin injection,Capecitabine Tablets,Drug: Toripalimab",China,130,Gastric Cancer,2023-01-07,3
87,NCT05943379,Phase 2,"RemeGen Co., Ltd.",,"Drug: RC48-ADC in Combination with gemcitabine,RC48-ADC in Combination with gemcitabine",China,85,NMIBC,2023-03-13,2
88,NCT04868344,Phase 1,Shanghai Miracogen Inc.,,MRG003,China,61,Advanced Solid Tumors,2018-05-09,1
89,NCT06224855,Phase 1,"Hangzhou DAC Biotechnology Co., Ltd.",,"Recombinant Humanized Antibody-drug conjugate,DXC006",,110,"Advanced Solid Tumors,Hematological Malignancies",2024-01-24,1
90,NCT05914545,Phase 1,"Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co., Ltd.",,"FZ-AD004-Antibody-drug Conjugate,FZ-AD004",China,121,Advanced and Metastatic Solid Tumor,2023-06-12,1
91,NCT03682796,Phase 1,Triphase Research and Development III Corp.,,TRPH-222,"Canada,United States",32,"Lymphoma, Follicular,Lymphoma, B-Cell,Lymphoma, Large B-Cell, Diffuse,Lymphoma, Mantle-Cell,Lymphoma, Marginal Zone,Lymphoma,Lymphoma, Non-Hodgkin",2018-10-15,1
92,NCT03368196,Phase 1,"Daiichi Sankyo Taiwan Ltd., a Daiichi Sankyo Company",AstraZeneca,DS-8201a,Taiwan,12,"Adenocarcinoma, Gastric,Neoplasm, Breast",2018-04-02,1
93,NCT03650491,Phase 1,"Fortis Therapeutics, Inc.",,FOR46,United States,31,"Multiple Myeloma With Failed Remission,Multiple Myeloma,Multiple Myeloma in Relapse",2019-04-03,1
94,NCT03575819,Phase 1,"Fortis Therapeutics, Inc.",,FOR46,United States,56,Prostate Cancer Metastatic,2019-02-04,1
95,NCT05866354,Phase 1,"Zai Lab (Shanghai) Co., Ltd.",,Tisotumab Vedotin,China,19,Solid Malignancies,2023-06-16,1
96,NCT03384940,Phase 2,"Daiichi Sankyo Co., Ltd.","AstraZeneca,Daiichi Sankyo","DS-8201a,Trastuzumab deruxtecan","Italy,Spain,United Kingdom,United States,Japan",86,Colorectal Neoplasm,2018-02-23,2
97,NCT05464030,Phase 1,"EMD Serono Research & Development Institute, Inc.","Merck KGaA, Darmstadt, Germany","M9140,Capecitabine,Bevacizumab","United States,Japan,Spain",180,Colorectal Cancer,2022-08-04,1
98,NCT05797168,"Phase 2,Phase 1",AstraZeneca,,"AZD5335,AZD5305","China,Japan,Israel,Spain,Canada,Taiwan,Australia,United States,United Kingdom",150,"Ovarian Cancer,Lung Adenocarcinoma",2023-06-05,2
99,NCT03500380,"Phase 2,Phase 3","RemeGen Co., Ltd.",,"Drug: RC48-ADC,Drug: Capecitabine,RC48-ADC,Capecitabine,RC48,Drug: Lapatinib,Lapatinib",China,301,"HER2-positive Breast Cancer,Breast Neoplasms,Capecitabine,HER2-positive Advanced Breast With Liver Metastases,Breast Diseases,HER2 Positive Breast Carcinoma",2018-04-24,3
100,NCT05302284,Phase 3,"RemeGen Co., Ltd.",,"Disitamab Vedotin,Carboplatin,Drug: RC48-ADC,JS001,Cisplatin,Toripalimab,RC48-ADC,Drug: Carboplatin,Drug: Cisplatin,Drug: Gemcitabine,Drug: Toripalimab,Gemcitabine",China,452,"Urothelial Carcinoma,HER2-expressing",2022-03-21,3
101,NCT06105008,Phase 2,"RemeGen Co., Ltd.",,"Disitamab Vedotin,RC48-ADC, DV,JS001,Toripalimab",China,80,Breast Neoplasms,2024-12-20,2
102,NCT05751512,Phase 3,Shanghai Miracogen Inc.,,"Cetuximab injection,MRG003,Methotrexate Injection",China,180,Squamous Cell Carcinoma of the Head and Neck,2023-03-01,3
103,NCT04965766,Phase 2,"Gustave Roussy, Cancer Campus, Grand Paris",Daiichi Sankyo,"U3-1402,HER3-DXd",France,170,Metastatic Breast Cancer,2021-05-11,2
104,NCT03602079,"Phase 2,Phase 1",Klus Pharma Inc.,,A166,United States,49,"Mucinous Adenocarcinoma Gastric,Recurrent Ovarian Carcinoma,Rectal Cancer Stage III,Cholangiocarcinoma,Solid Tumor,Recurrent Gastric Cancer,Lung Cancer,Liver Cancer,Bile Duct Cancer,Recurrent Renal Cell Cancer,Prostate Cancer,Rectal Cancer,Tonsil Cancer,Mucinous Breast Cancer Recurrent,Bladder Cancer,Recurrent Breast Cancer,Mouth Cancer,Rectal Cancer Stage I,Rare Diseases,Head and Neck Cancer,Mucoepidermoid Carcinoma,Primary Peritoneal Carcinoma,Rectal Cancer Stage II,HER2-positive Breast Cancer,HER2 Gene Mutation,Lip Cancer Stage I,HER2 Positive Gastric Cancer,Recurrent Prostate Cancer,Head and Neck Carcinoma,Tongue Cancer,Recurrent Colon Cancer,Skin Cancer,Salivary Gland Cancer,Salivary Gland Neoplasms,Urologic Cancer,Breast Neoplasm Malignant Primary,Colo-rectal Cancer,Palate Cancer,Salivary Gland Carcinoma,HER-2 Gene Amplification,Cervical Cancer,Larynx Cancer,Pancreatic Cancer,Salivary Gland Tumor",2018-07-16,2
105,NCT04925284,Phase 1,Exelixis,,"XB002,Nivolumab","Belgium,Italy,Korea, Republic of,Spain,Netherlands,Australia,United States,United Kingdom,France",573,"SCCHN,Esophageal SCC,Tissue Factor-Expressing Solid Tumors,Non Small Cell Lung Cancer,Epithelial Ovarian Cancer,Metastatic Castration-resistant Prostate Cancer,Triple Negative Breast Cancer,Hormone Receptor-positive Breast Cancer,Cervical Cancer,Pancreatic Cancer,Endometrial Cancer",2021-06-07,1
106,NCT06238479,Phase 1,Eli Lilly and Company,"Loxo Oncology, Inc.",LY4101174,"Australia,United States,Japan",280,"Advanced Solid Tumor,Ovarian Cancer,Prostate Cancer,Esophageal Cancer,Urinary Bladder Neoplasm,Bladder Cancer,Triple Negative Breast Cancer,Cervical Cancer,Head and Neck Squamous Cell Carcinoma,Pancreatic Cancer,Renal Pelvis Cancer,Metastatic Solid Tumor,Non-small Cell Lung Cancer,Recurrent Solid Tumor",2024-03-05,1
107,NCT01497821,Phase 1,Amgen,,AMG 172,"Germany,United States,France",37,"Clear Cell Renal Cell Carcinoma,Clear Cell Renal Carcinoma,Renal Cell Carcinoma,Renal Cell Adenocarcinoma",2012-01-01,1
108,NCT03734029,Phase 3,Daiichi Sankyo,"AstraZeneca,Daiichi Sankyo Co., Ltd.","Eribulin,Drug: Nab-paclitaxel,Drug: Capecitabine,Drug: Eribulin,Capecitabine,Trastuzumab deruxtecan (DS-8201a),Paclitaxel,Drug: Gemcitabine,Nab-paclitaxel,Drug: Paclitaxel,Drug: Trastuzumab deruxtecan (DS-8201a),Gemcitabine,DS-8201a","Hungary,Belgium,Israel,Italy,Taiwan,United Kingdom,China,United States,Switzerland,Japan,Sweden,Russian Federation,Germany,Austria,Portugal,Korea, Republic of,Spain,Canada,Greece,France",557,Breast Cancer,2018-06-11,3
109,NCT04924699,"Phase 3,Phase 2",Shanghai Miracogen Inc.,,"Trastuzumab Emtansine for Injection,MRG002",China,350,"Advanced Breast Cancer,Metastatic Breast Cancer",2021-06-30,3
